64,1.7035789831258017,7.4240378608964654
90,2.025419908188709,6.455462302250752
128,2.5911688495287843,5.842459480952713
181,3.052865710924768,4.881355637748361
256,3.7009316024332763,4.255699703114099
362,4.518750722019914,3.6938391404827726
512,5.472680609917719,3.1627202525484615
724,6.801080147001253,2.7976596558097686
1024,8.714109934611646,2.546678085658565
1448,11.073477834326532,2.2989417089682043
2048,13.969646673381648,2.0485402710424436
2896,17.78673625005633,1.8554429734830609
4096,22.71149144378258,1.680105219490168
5792,29.8944954710254,1.563276412288931
8192,39.857748205466095,1.4759650308315442
11585,51.64288979341076,1.3520215173164296
16384,67.98661786021125,1.2600989526453377
23170,90.38308030562597,1.186850230596538
32768,123.35007988605739,1.1437454521942458
46340,163.71562942342334,1.0744669654591321
65536,218.7016030013543,1.0146058489179144
92681,294.46414047889414,0.968199521933627
131072,411.5683397220928,0.9560865705948608
185363,553.3588113197162,0.909456644694856
262144,768.9596872904367,0.8948977649068013
