64,6.2334890196223505,23.0438197740484
90,9.052333233473322,23.462441870207385
128,12.416157003246315,22.91262440269622
181,17.57865165378245,22.930122230282368
256,24.54548275431686,22.799570695306006
362,34.8208154203394,22.852245756126283
512,49.27099377961784,22.8417235574743
724,69.86700077270562,22.931940702381176
1024,99.90187461618812,23.056652935494792
1448,140.84723520366043,23.01851477100476
2048,200.47509044845333,23.087309515598736
2896,280.7994172437004,22.94932029293854
4096,394.20867329000293,22.854010083586218
5792,562.6527505763077,22.9921541154836
8192,791.8184902451007,22.931565908440728
11585,1118.109638659906,22.903371249669945
16384,1580.7489219924137,22.89167180078254
23170,2238.338325349179,22.912722763576312
32768,3170.7990441356696,22.962359981056537
46340,4488.141058124433,22.956904007093023
65536,6348.926393162296,22.957456116633356
92681,8934.949791021098,22.892931291997115
131072,12681.17266980822,22.926825503375717
185363,17866.849913216607,22.89024113606134
262144,25295.335478323403,22.90476113824534
